Date,Day,Month,Quarter,Year,Open,Close,Volume
4/13/2020,Wednesday,April,Q2,2020,180,183.35,769348
4/15/2020,Thursday,April,Q2,2020,188,187.8,747297
4/16/2020,Friday,April,Q2,2020,182.3,193.85,431499
4/17/2020,Monday,April,Q2,2020,199,198.95,432613
4/20/2020,Tuesday,April,Q2,2020,200.05,200.75,493261
4/21/2020,Wednesday,April,Q2,2020,191,191.3,661477
4/22/2020,Thursday,April,Q2,2020,191.2,197.2,568003
4/23/2020,Friday,April,Q2,2020,202.8,200,529475
4/24/2020,Monday,April,Q2,2020,199.1,195.95,232558
4/27/2020,Tuesday,April,Q2,2020,193,200.65,391556
4/28/2020,Wednesday,April,Q2,2020,201,203.65,339066
4/29/2020,Thursday,April,Q2,2020,205,207.95,442718
4/30/2020,Monday,May,Q2,2020,211.1,210.45,488630
5/4/2020,Tuesday,May,Q2,2020,199.95,209.55,1698446
5/5/2020,Wednesday,May,Q2,2020,215,210.8,594711
5/6/2020,Thursday,May,Q2,2020,211,211.85,604880
5/7/2020,Friday,May,Q2,2020,207.45,210.55,188208
5/8/2020,Monday,May,Q2,2020,211,212.25,289416
5/11/2020,Tuesday,May,Q2,2020,214.85,222.6,1063341
5/12/2020,Wednesday,May,Q2,2020,222,226.05,667224
5/13/2020,Thursday,May,Q2,2020,233,231,562454
5/14/2020,Friday,May,Q2,2020,229.4,228.55,416147
5/15/2020,Monday,May,Q2,2020,228.6,230.25,325461
5/18/2020,Tuesday,May,Q2,2020,229,229.25,651925
5/19/2020,Wednesday,May,Q2,2020,230,233.65,477703
5/20/2020,Thursday,May,Q2,2020,231,234.7,354733
5/21/2020,Friday,May,Q2,2020,233.95,235.1,365824
5/22/2020,Tuesday,May,Q2,2020,237,239.65,495551
5/26/2020,Wednesday,May,Q2,2020,240,239.9,281221
5/27/2020,Thursday,May,Q2,2020,240,242.6,316188
5/28/2020,Friday,May,Q2,2020,242.6,246,444357
5/29/2020,Monday,June,Q2,2020,246,248.6,294574
6/1/2020,Tuesday,June,Q2,2020,253.9,260.75,864596
6/2/2020,Wednesday,June,Q2,2020,269,273.75,371599
6/3/2020,Thursday,June,Q2,2020,287.4,273.85,1411752
6/4/2020,Friday,June,Q2,2020,274.9,274,1332983
6/5/2020,Monday,June,Q2,2020,274,284.25,1044811
6/8/2020,Tuesday,June,Q2,2020,288.35,297.75,1368198
6/9/2020,Wednesday,June,Q2,2020,312.6,312.6,1422436
6/10/2020,Thursday,June,Q2,2020,328.2,328.2,403398
6/11/2020,Friday,June,Q2,2020,344.6,332.05,5504845
6/12/2020,Monday,June,Q2,2020,315.45,336.4,2889440
6/15/2020,Tuesday,June,Q2,2020,344.85,346.15,2701757
6/16/2020,Wednesday,June,Q2,2020,360.2,363.45,3265090
6/17/2020,Thursday,June,Q2,2020,371.5,381.6,940601
6/18/2020,Friday,June,Q2,2020,400.65,400.65,2333783
6/19/2020,Monday,June,Q2,2020,419.95,420.65,2882495
6/22/2020,Tuesday,June,Q2,2020,441.65,441.65,1646544
6/23/2020,Wednesday,June,Q2,2020,463.7,463.6,4093748
6/24/2020,Thursday,June,Q2,2020,486.75,440.45,4430414
6/25/2020,Friday,June,Q2,2020,418.45,418.45,158257
6/26/2020,Monday,June,Q2,2020,397.55,397.55,147236
6/29/2020,Tuesday,June,Q2,2020,377.7,377.7,94398
6/30/2020,Wednesday,July,Q3,2020,358.85,358.85,126347
7/1/2020,Thursday,July,Q3,2020,340.95,340.95,80912
7/2/2020,Friday,July,Q3,2020,323.95,357.95,3295000
7/3/2020,Monday,July,Q3,2020,375.8,375.8,127962
7/6/2020,Tuesday,July,Q3,2020,394.55,394.55,5078968
7/7/2020,Wednesday,July,Q3,2020,400.4,413.75,5553639
7/8/2020,Thursday,July,Q3,2020,410,393.1,2943177
7/9/2020,Friday,July,Q3,2020,385,373.6,2630020
7/10/2020,Monday,July,Q3,2020,365,371.05,1883562
7/13/2020,Tuesday,July,Q3,2020,381,364.75,855872
7/14/2020,Wednesday,July,Q3,2020,364,348.1,892124
7/15/2020,Thursday,July,Q3,2020,348,354.55,1980374
7/16/2020,Friday,July,Q3,2020,353,348.3,969222
7/17/2020,Monday,July,Q3,2020,352.3,347.3,585531
7/20/2020,Tuesday,July,Q3,2020,349,349.95,898952
7/21/2020,Wednesday,July,Q3,2020,352.1,347.35,463869
7/22/2020,Thursday,July,Q3,2020,345,336,536991
7/23/2020,Friday,July,Q3,2020,337.4,320.3,832614
7/24/2020,Monday,July,Q3,2020,315,336.3,1468506
7/27/2020,Tuesday,July,Q3,2020,345.95,342.2,1835637
7/28/2020,Wednesday,July,Q3,2020,344.6,338.05,475244
7/29/2020,Thursday,July,Q3,2020,338,338.4,566831
7/30/2020,Friday,July,Q3,2020,338.35,341.45,530920
7/31/2020,Monday,August,Q3,2020,340.05,340.65,452663
8/3/2020,Tuesday,August,Q3,2020,342,339.8,425008
8/4/2020,Wednesday,August,Q3,2020,339.15,343.2,440285
8/5/2020,Thursday,August,Q3,2020,344.9,342.95,296449
8/6/2020,Friday,August,Q3,2020,342.95,341.6,295711
8/7/2020,Monday,August,Q3,2020,343,370.45,2282608
8/10/2020,Tuesday,August,Q3,2020,384,373.5,1014469
8/11/2020,Wednesday,August,Q3,2020,373,360.65,586768
8/12/2020,Thursday,August,Q3,2020,353.15,362.5,470018
8/13/2020,Friday,August,Q3,2020,363.75,362.15,295625
8/14/2020,Monday,August,Q3,2020,362.3,357.6,472397
8/17/2020,Tuesday,August,Q3,2020,358.75,367.25,682891
8/18/2020,Wednesday,August,Q3,2020,367.25,373.55,715230
8/19/2020,Thursday,August,Q3,2020,376.75,371,822005
8/20/2020,Friday,August,Q3,2020,370.5,375.4,1229063
8/21/2020,Monday,August,Q3,2020,378.45,376.55,770238
8/24/2020,Tuesday,August,Q3,2020,379.75,414.2,2209231
8/25/2020,Wednesday,August,Q3,2020,424.4,424.7,2573736
8/26/2020,Thursday,August,Q3,2020,420.55,427.65,1145301
8/27/2020,Friday,August,Q3,2020,431.5,432.75,1226228
8/28/2020,Monday,August,Q3,2020,436.1,462.3,2703595
8/31/2020,Tuesday,September,Q3,2020,463.6,452.75,3649101
9/1/2020,Wednesday,September,Q3,2020,454.1,494.65,2408646
9/2/2020,Thursday,September,Q3,2020,508.95,544.1,3657589
9/3/2020,Friday,September,Q3,2020,562.95,571.3,509894
9/4/2020,Monday,September,Q3,2020,542.75,542.75,993049
9/7/2020,Tuesday,September,Q3,2020,530.05,553.1,2507330
9/8/2020,Wednesday,September,Q3,2020,560,564.4,1247351
9/9/2020,Thursday,September,Q3,2020,542.5,590.05,1658812
9/10/2020,Friday,September,Q3,2020,600,579.75,1717285
9/11/2020,Monday,September,Q3,2020,588,608.65,2739567
9/14/2020,Tuesday,September,Q3,2020,625,638.9,3811588
9/15/2020,Wednesday,September,Q3,2020,654,670.8,2815789
9/16/2020,Thursday,September,Q3,2020,692.9,675.55,3935789
9/17/2020,Friday,September,Q3,2020,670,666.75,706806
9/18/2020,Monday,September,Q3,2020,687.95,665.6,20106893
9/21/2020,Tuesday,September,Q3,2020,680.05,651.75,1095406
9/22/2020,Wednesday,September,Q3,2020,636,619.2,957140
9/23/2020,Thursday,September,Q3,2020,630,588.25,410104
9/24/2020,Friday,September,Q3,2020,558.85,616.95,2703433
9/25/2020,Monday,September,Q3,2020,647.75,647.75,253932
9/28/2020,Tuesday,September,Q3,2020,680.1,680.1,221961
9/29/2020,Wednesday,September,Q3,2020,714.1,714.1,204451
9/30/2020,Thursday,October,Q4,2020,749.8,737.6,2411057
10/1/2020,Monday,October,Q4,2020,754,747.1,890009
10/5/2020,Tuesday,October,Q4,2020,769.6,749.45,581244
